initial_alias,name
ENSMUSG00000110987,Gm47048
ENSMUSG00000101698,Gm29562
ENSMUSG00000109136,Gm45114
ENSMUSG00000100483,Gm28237
ENSMUSG00000101874,Or2y1e
ENSMUSG00000026395,Ptprc
ENSMUSG00000055960,Skint4
ENSMUSG00000034780,B3galt1
ENSMUSG00000097832,Gm26912
ENSMUSG00000107069,Gm43772
ENSMUSG00000083195,Gm13567
ENSMUSG00000065687,Gm23734
ENSMUSG00000095217,H2bc15
ENSMUSG00000022935,Grik1
ENSMUSG00000105731,Gm43063
ENSMUSG00000099583,H3c4
ENSMUSG00000073184,Gm49957
ENSMUSG00000069289,Vmn1r203
ENSMUSG00000077426,Gm26387
ENSMUSG00000096010,H4c16
ENSMUSG00000118839,Gm25360
ENSMUSG00000027834,Serpini1
ENSMUSG00000112522,Gm47632
ENSMUSG00000115088,Gm49165
ENSMUSG00000104443,4932442E05Rik
ENSMUSG00000115722,Gm8472
ENSMUSG00000100758,Gm3332
ENSMUSG00000030223,Ptpro
ENSMUSG00000115062,4930544F09Rik
ENSMUSG00000106211,Gm42842
ENSMUSG00000105516,Gm36823
ENSMUSG00000082961,Gm15131
ENSMUSG00000081980,Gm13702
ENSMUSG00000101838,Gm18800
ENSMUSG00000101037,Gm28424
ENSMUSG00000060568,Fam78b
ENSMUSG00000083710,Gm15078
ENSMUSG00000113112,Gm8725
ENSMUSG00000065794,Gm25514
ENSMUSG00000112759,Gm47615
ENSMUSG00000032131,Abcg4
ENSMUSG00000096109,Or8g18
ENSMUSG00000111041,Gm3011
ENSMUSG00000113468,Gm48165
ENSMUSG00000050296,Abca12
ENSMUSG00000114038,Gm40999
ENSMUSG00000033579,Fa2h
ENSMUSG00000109664,Gm9520
ENSMUSG00000112090,Gm48231
ENSMUSG00000110794,4930401A07Rik
ENSMUSG00000038567,Cyp24a1
ENSMUSG00000038257,Glra3
ENSMUSG00000040329,Il7
ENSMUSG00000073130,Gm1141
ENSMUSG00000025425,St8sia5
ENSMUSG00000114312,Gm18077
